"subj_idx","gender","year","rt","correct_response","key_press","condition","acc","Identity","Label","ismatch"
31,1,21,835,"f","f","matching_task",1,"friend","self",0
31,1,21,914,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,761,"j","j","matching_task",1,"friend","friend",1
31,1,21,653,"f","j","matching_task",0,"self","stranger",0
31,1,21,673,"f","j","matching_task",0,"friend","stranger",0
31,1,21,734,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,779,"f","f","matching_task",1,"self","friend",0
31,1,21,615,"j","j","matching_task",1,"self","self",1
31,1,21,669,"j","f","matching_task",0,"self","self",1
31,1,21,832,"j","j","matching_task",1,"friend","friend",1
31,1,21,794,"f","f","matching_task",1,"stranger","friend",0
31,1,21,663,"f","j","matching_task",0,"stranger","self",0
31,1,21,836,"f","f","matching_task",1,"self","stranger",0
31,1,21,916,"j","f","matching_task",0,"stranger","stranger",1
31,1,21,743,"f","f","matching_task",1,"stranger","self",0
31,1,21,709,"j","j","matching_task",1,"friend","friend",1
31,1,21,657,"j","j","matching_task",1,"self","self",1
31,1,21,959,"f","f","matching_task",1,"stranger","friend",0
31,1,21,773,"j","f","matching_task",0,"friend","friend",1
31,1,21,1189,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,893,"f","f","matching_task",1,"friend","self",0
31,1,21,768,"j","j","matching_task",1,"self","self",1
31,1,21,655,"f","f","matching_task",1,"self","friend",0
31,1,21,706,"f","j","matching_task",0,"friend","stranger",0
31,1,21,1041,"j","j","matching_task",1,"friend","friend",1
31,1,21,623,"j","j","matching_task",1,"self","self",1
31,1,21,688,"j","j","matching_task",1,"self","self",1
31,1,21,856,"f","f","matching_task",1,"self","friend",0
31,1,21,676,"j","j","matching_task",1,"friend","friend",1
31,1,21,786,"f","f","matching_task",1,"self","stranger",0
31,1,21,777,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,830,"f","f","matching_task",1,"stranger","friend",0
31,1,21,1034,"f","f","matching_task",1,"friend","stranger",0
31,1,21,860,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,826,"f","f","matching_task",1,"friend","self",0
31,1,21,1213,"f","f","matching_task",1,"stranger","self",0
31,1,21,707,"f","f","matching_task",1,"stranger","self",0
31,1,21,674,"j","j","matching_task",1,"friend","friend",1
31,1,21,678,"j","j","matching_task",1,"self","self",1
31,1,21,612,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,724,"j","j","matching_task",1,"self","self",1
31,1,21,769,"f","f","matching_task",1,"self","stranger",0
31,1,21,940,"f","f","matching_task",1,"friend","self",0
31,1,21,817,"j","j","matching_task",1,"friend","friend",1
31,1,21,815,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,651,"f","f","matching_task",1,"stranger","friend",0
31,1,21,1021,"f","j","matching_task",0,"friend","stranger",0
31,1,21,574,"f","j","matching_task",0,"self","friend",0
31,1,21,832,"f","f","matching_task",1,"friend","self",0
31,1,21,673,"j","j","matching_task",1,"self","self",1
31,1,21,719,"f","f","matching_task",1,"stranger","self",0
31,1,21,1263,"f","f","matching_task",1,"friend","stranger",0
31,1,21,705,"j","j","matching_task",1,"friend","friend",1
31,1,21,657,"j","j","matching_task",1,"self","self",1
31,1,21,730,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,661,"f","j","matching_task",0,"self","friend",0
31,1,21,855,"f","f","matching_task",1,"self","stranger",0
31,1,21,796,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,639,"j","j","matching_task",1,"friend","friend",1
31,1,21,1088,"f","f","matching_task",1,"stranger","friend",0
31,1,21,828,"f","f","matching_task",1,"stranger","friend",0
31,1,21,614,"j","j","matching_task",1,"self","self",1
31,1,21,707,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,596,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,1092,"f","f","matching_task",1,"stranger","self",0
31,1,21,897,"f","f","matching_task",1,"friend","self",0
31,1,21,865,"j","j","matching_task",1,"friend","friend",1
31,1,21,912,"f","f","matching_task",1,"friend","stranger",0
31,1,21,657,"j","f","matching_task",0,"friend","friend",1
31,1,21,642,"j","j","matching_task",1,"self","self",1
31,1,21,932,"f","f","matching_task",1,"self","friend",0
31,1,21,709,"f","j","matching_task",0,"self","stranger",0
31,1,21,866,"j","j","matching_task",1,"friend","friend",1
31,1,21,526,"j","j","matching_task",1,"self","self",1
31,1,21,776,"f","f","matching_task",1,"friend","self",0
31,1,21,715,"f","j","matching_task",0,"stranger","friend",0
31,1,21,777,"f","f","matching_task",1,"stranger","self",0
31,1,21,626,"j","j","matching_task",1,"self","self",1
31,1,21,924,"f","f","matching_task",1,"self","friend",0
31,1,21,1343,"f","f","matching_task",1,"friend","stranger",0
31,1,21,724,"f","j","matching_task",0,"self","stranger",0
31,1,21,963,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,715,"j","j","matching_task",1,"friend","friend",1
31,1,21,1023,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,795,"f","f","matching_task",1,"self","stranger",0
31,1,21,867,"f","f","matching_task",1,"self","friend",0
31,1,21,905,"f","f","matching_task",1,"friend","self",0
31,1,21,1192,"f","j","matching_task",0,"friend","stranger",0
31,1,21,770,"f","j","matching_task",0,"stranger","friend",0
31,1,21,1274,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,578,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,687,"j","j","matching_task",1,"friend","friend",1
31,1,21,829,"j","j","matching_task",1,"self","self",1
31,1,21,713,"j","j","matching_task",1,"self","self",1
31,1,21,869,"j","j","matching_task",1,"friend","friend",1
31,1,21,805,"f","f","matching_task",1,"stranger","self",0
31,1,21,876,"f","f","matching_task",1,"stranger","self",0
31,1,21,680,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,623,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,502,"f","j","matching_task",0,"stranger","friend",0
31,1,21,857,"j","j","matching_task",1,"friend","friend",1
31,1,21,709,"j","j","matching_task",1,"self","self",1
31,1,21,707,"j","j","matching_task",1,"self","self",1
31,1,21,707,"f","f","matching_task",1,"self","stranger",0
31,1,21,754,"j","j","matching_task",1,"friend","friend",1
31,1,21,1072,"f","f","matching_task",1,"friend","self",0
31,1,21,838,"f","f","matching_task",1,"self","friend",0
31,1,21,1288,"f","f","matching_task",1,"friend","stranger",0
31,1,21,764,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,696,"f","j","matching_task",0,"stranger","friend",0
31,1,21,734,"j","j","matching_task",1,"friend","friend",1
31,1,21,848,"f","f","matching_task",1,"stranger","self",0
31,1,21,1071,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,978,"f","f","matching_task",1,"self","friend",0
31,1,21,659,"j","f","matching_task",0,"self","self",1
31,1,21,910,"f","f","matching_task",1,"self","stranger",0
31,1,21,746,"j","j","matching_task",1,"friend","friend",1
31,1,21,752,"f","f","matching_task",1,"friend","self",0
31,1,21,943,"f","f","matching_task",1,"friend","stranger",0
31,1,21,1027,"j","j","matching_task",1,"self","self",1
31,1,21,689,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,602,"f","f","matching_task",1,"stranger","friend",0
31,1,21,868,"j","j","matching_task",1,"friend","friend",1
31,1,21,719,"f","f","matching_task",1,"self","friend",0
31,1,21,814,"j","f","matching_task",0,"friend","friend",1
31,1,21,664,"f","j","matching_task",0,"friend","self",0
31,1,21,822,"f","f","matching_task",1,"self","stranger",0
31,1,21,793,"j","f","matching_task",0,"self","self",1
31,1,21,1199,"f","f","matching_task",1,"friend","stranger",0
31,1,21,919,"f","f","matching_task",1,"stranger","self",0
31,1,21,1045,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,706,"j","j","matching_task",1,"self","self",1
31,1,21,624,"j","f","matching_task",0,"friend","friend",1
31,1,21,626,"j","j","matching_task",1,"self","self",1
31,1,21,587,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,858,"f","f","matching_task",1,"friend","stranger",0
31,1,21,698,"f","f","matching_task",1,"self","stranger",0
31,1,21,804,"j","j","matching_task",1,"friend","friend",1
31,1,21,738,"f","f","matching_task",1,"friend","self",0
31,1,21,731,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,819,"j","j","matching_task",1,"self","self",1
31,1,21,618,"f","f","matching_task",1,"stranger","friend",0
31,1,21,899,"f","f","matching_task",1,"stranger","self",0
31,1,21,813,"f","f","matching_task",1,"self","friend",0
31,1,21,865,"f","f","matching_task",1,"friend","stranger",0
31,1,21,867,"j","j","matching_task",1,"self","self",1
31,1,21,790,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,772,"j","j","matching_task",1,"friend","friend",1
31,1,21,685,"f","f","matching_task",1,"self","friend",0
31,1,21,745,"f","f","matching_task",1,"friend","self",0
31,1,21,859,"j","j","matching_task",1,"friend","friend",1
31,1,21,1039,"f","f","matching_task",1,"stranger","friend",0
31,1,21,697,"j","j","matching_task",1,"self","self",1
31,1,21,828,"f","f","matching_task",1,"stranger","self",0
31,1,21,812,"f","f","matching_task",1,"self","stranger",0
31,1,21,542,"j","f","matching_task",0,"stranger","stranger",1
31,1,21,666,"f","f","matching_task",1,"stranger","friend",0
31,1,21,789,"f","f","matching_task",1,"friend","self",0
31,1,21,836,"j","j","matching_task",1,"friend","friend",1
31,1,21,906,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,815,"j","f","matching_task",0,"friend","friend",1
31,1,21,775,"f","f","matching_task",1,"stranger","self",0
31,1,21,633,"j","j","matching_task",1,"self","self",1
31,1,21,1164,"f","f","matching_task",1,"friend","stranger",0
31,1,21,717,"j","j","matching_task",1,"self","self",1
31,1,21,806,"f","f","matching_task",1,"self","stranger",0
31,1,21,862,"f","f","matching_task",1,"self","friend",0
31,1,21,815,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,791,"j","j","matching_task",1,"self","self",1
31,1,21,963,"f","f","matching_task",1,"friend","self",0
31,1,21,727,"j","j","matching_task",1,"self","self",1
31,1,21,779,"f","f","matching_task",1,"self","friend",0
31,1,21,1313,"f","f","matching_task",1,"self","stranger",0
31,1,21,933,"f","f","matching_task",1,"stranger","self",0
31,1,21,1017,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,586,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,888,"f","f","matching_task",1,"friend","stranger",0
31,1,21,904,"j","j","matching_task",1,"friend","friend",1
31,1,21,714,"j","j","matching_task",1,"friend","friend",1
31,1,21,507,"f","j","matching_task",0,"stranger","friend",0
31,1,21,828,"f","f","matching_task",1,"stranger","self",0
31,1,21,765,"f","f","matching_task",1,"self","friend",0
31,1,21,837,"j","j","matching_task",1,"self","self",1
31,1,21,895,"j","j","matching_task",1,"friend","friend",1
31,1,21,1097,"f","f","matching_task",1,"friend","stranger",0
31,1,21,1340,"f","f","matching_task",1,"self","stranger",0
31,1,21,780,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,692,"j","j","matching_task",1,"friend","friend",1
31,1,21,787,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,968,"f","f","matching_task",1,"stranger","friend",0
31,1,21,917,"f","f","matching_task",1,"friend","self",0
31,1,21,701,"j","j","matching_task",1,"self","self",1
31,1,21,816,"j","j","matching_task",1,"self","self",1
31,1,21,610,"j","j","matching_task",1,"self","self",1
31,1,21,712,"j","j","matching_task",1,"friend","friend",1
31,1,21,859,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,896,"f","f","matching_task",1,"friend","stranger",0
31,1,21,796,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,851,"f","f","matching_task",1,"stranger","self",0
31,1,21,885,"f","f","matching_task",1,"self","stranger",0
31,1,21,819,"f","f","matching_task",1,"self","friend",0
31,1,21,836,"j","j","matching_task",1,"friend","friend",1
31,1,21,830,"f","f","matching_task",1,"friend","self",0
31,1,21,851,"f","j","matching_task",0,"stranger","friend",0
31,1,21,720,"f","f","matching_task",1,"self","stranger",0
31,1,21,844,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,1082,"f","f","matching_task",1,"friend","self",0
31,1,21,951,"j","j","matching_task",1,"friend","friend",1
31,1,21,745,"j","j","matching_task",1,"self","self",1
31,1,21,744,"f","f","matching_task",1,"self","friend",0
31,1,21,1051,"f","f","matching_task",1,"friend","stranger",0
31,1,21,648,"j","j","matching_task",1,"self","self",1
31,1,21,873,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,696,"f","f","matching_task",1,"stranger","friend",0
31,1,21,814,"f","f","matching_task",1,"stranger","self",0
31,1,21,975,"j","f","matching_task",0,"friend","friend",1
31,1,21,633,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,767,"f","f","matching_task",1,"stranger","friend",0
31,1,21,903,"f","f","matching_task",1,"self","stranger",0
31,1,21,710,"j","j","matching_task",1,"self","self",1
31,1,21,617,"j","f","matching_task",0,"friend","friend",1
31,1,21,695,"f","f","matching_task",1,"friend","self",0
31,1,21,687,"f","j","matching_task",0,"friend","stranger",0
31,1,21,717,"f","f","matching_task",1,"self","friend",0
31,1,21,691,"f","j","matching_task",0,"stranger","self",0
31,1,21,701,"j","j","matching_task",1,"self","self",1
31,1,21,907,"j","j","matching_task",1,"friend","friend",1
31,1,21,593,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,684,"f","f","matching_task",1,"friend","self",0
31,1,21,816,"j","j","matching_task",1,"friend","friend",1
31,1,21,701,"f","f","matching_task",1,"self","friend",0
31,1,21,711,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,635,"f","f","matching_task",1,"stranger","self",0
31,1,21,803,"j","j","matching_task",1,"self","self",1
31,1,21,724,"f","f","matching_task",1,"self","stranger",0
31,1,21,650,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,658,"f","f","matching_task",1,"friend","stranger",0
31,1,21,636,"f","j","matching_task",0,"stranger","friend",0
31,1,21,639,"j","j","matching_task",1,"friend","friend",1
31,1,21,627,"j","j","matching_task",1,"self","self",1
31,1,21,591,"j","j","matching_task",1,"self","self",1
31,1,21,841,"f","f","matching_task",1,"self","stranger",0
31,1,21,627,"j","j","matching_task",1,"stranger","stranger",1
31,1,21,763,"f","f","matching_task",1,"friend","stranger",0
31,1,21,744,"j","j","matching_task",1,"friend","friend",1
31,1,21,792,"f","f","matching_task",1,"friend","self",0
31,1,21,607,"j","j","matching_task",1,"self","self",1
31,1,21,794,"j","j","matching_task",1,"friend","friend",1
31,1,21,759,"f","f","matching_task",1,"self","friend",0
