"subj_idx","gender","year","rt","key_press","paired_colors","ismatch","acc","TaskRelevance","Identity"
1,1,22,1147,"f","red",0,1,"TaskRelevant","self"
1,1,22,933,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,1074,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,602,"j","red",1,1,"TaskRelevant","self"
1,1,22,1165,"j","blue",0,0,"TaskRelevant","friend"
1,1,22,1073,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,988,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,1444,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,542,"j","red",1,1,"TaskRelevant","self"
1,1,22,1339,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,776,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,1073,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,811,"f","green",1,0,"TaskRelevant","stranger"
1,1,22,751,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,760,"f","red",0,1,"TaskRelevant","self"
1,1,22,636,"j","red",1,1,"TaskRelevant","self"
1,1,22,NA,"null","green",0,0,"TaskRelevant","stranger"
1,1,22,572,"j","red",1,1,"TaskRelevant","self"
1,1,22,781,"j","red",1,1,"TaskRelevant","self"
1,1,22,1140,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,973,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,1132,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,725,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,579,"j","red",1,1,"TaskRelevant","self"
1,1,22,976,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,555,"j","blue",0,0,"TaskRelevant","friend"
1,1,22,769,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,727,"f","red",0,1,"TaskRelevant","self"
1,1,22,833,"f","red",0,1,"TaskRelevant","self"
1,1,22,1007,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,724,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,681,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,1093,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,674,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,790,"f","red",0,1,"TaskRelevant","self"
1,1,22,655,"f","red",0,1,"TaskRelevant","self"
1,1,22,1134,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,775,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,667,"j","blue",0,0,"TaskRelevant","friend"
1,1,22,956,"f","red",0,1,"TaskRelevant","self"
1,1,22,1019,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,705,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,733,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,852,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,806,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,920,"j","red",1,1,"TaskRelevant","self"
1,1,22,705,"f","green",1,0,"TaskRelevant","stranger"
1,1,22,567,"j","red",0,0,"TaskRelevant","self"
1,1,22,708,"j","red",1,1,"TaskRelevant","self"
1,1,22,737,"f","red",0,1,"TaskRelevant","self"
1,1,22,592,"j","red",1,1,"TaskRelevant","self"
1,1,22,981,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,934,"f","red",0,1,"TaskRelevant","self"
1,1,22,589,"j","red",1,1,"TaskRelevant","self"
1,1,22,806,"f","red",0,1,"TaskRelevant","self"
1,1,22,644,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,776,"f","red",0,1,"TaskRelevant","self"
1,1,22,868,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,568,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,656,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,675,"j","blue",0,0,"TaskRelevant","friend"
1,1,22,869,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,844,"j","blue",0,0,"TaskRelevant","friend"
1,1,22,1492,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,697,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,1387,"j","green",0,0,"TaskRelevant","stranger"
1,1,22,635,"j","red",1,1,"TaskRelevant","self"
1,1,22,821,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,1127,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,628,"j","red",1,1,"TaskRelevant","self"
1,1,22,949,"j","green",0,0,"TaskRelevant","stranger"
1,1,22,844,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,850,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,753,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,969,"f","blue",1,0,"TaskRelevant","friend"
1,1,22,978,"f","green",0,1,"TaskRelevant","stranger"
1,1,22,755,"f","red",0,1,"TaskRelevant","self"
1,1,22,1003,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,705,"f","red",0,1,"TaskRelevant","self"
1,1,22,815,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,768,"j","red",1,1,"TaskRelevant","self"
1,1,22,1164,"j","blue",1,1,"TaskRelevant","friend"
1,1,22,1006,"j","blue",0,0,"TaskRelevant","friend"
1,1,22,579,"j","red",1,1,"TaskRelevant","self"
1,1,22,1021,"f","blue",0,1,"TaskRelevant","friend"
1,1,22,589,"j","red",1,1,"TaskRelevant","self"
1,1,22,841,"j","green",1,1,"TaskRelevant","stranger"
1,1,22,1353,"f","blue",0,1,"TaskRelevant","friend"
